Nimi;Lukumäärä
Ellinoora;450
Nicole;450
Anna-Sofia;449
Hillevi;449
Agneta;448
Maaria;446
Michelle;445
Tua;445
Sani;444
Pekko;444
Meiju;442
Usko;441
Ivan;440
Sanna-Maria;437
Eeva-Maija;436
Gunnar;436
Kaino;434
Pontus;433
Melinda;432
Miranda;431
Agnes;430
Eedit;430
Soila;430
Kari-Pekka;427
Romeo;427
Adessa;425
Julianna;425
Guy;425
Muhammad;423
Jane;422
Tamara;422
Fiia;421
Gustav;421
Lumia;419
Ibrahim;418
Amelie;417
Sergei;417
Iida-Maria;416
Assi;413
Liinu;413
Milana;413
Alicia;412
Emelie;412
Nathalie;412
Amina;410
Louna;410
Antti-Pekka;410
Arthur;410
Nana;409
Veronika;409
Stiina;408
Antto;408
Ronny;408
Nicklas;407
Amir;406
Alvin;405
Arsi;405
Jelena;404
Teea;403
Elmer;403
Mary;402
Michaela;400
Christine;399
Sten;397
Georg;396
Clara;395
Karla;395
Maxim;395
Einari;394
Bella;393
Ruben;393
Impi;392
Nikita;391
Bettina;390
Ulpu;390
Mattias;390
Sarianna;388
Pavel;388
Hannamari;387
Samppa;387
Beata;386
Sophie;386
Anne-Maj;384
André;384
Artur;384
Jakob;384
Maj;383
Kent;382
Veini;382
Aina;381
Caroline;380
Moa;379
Into;379
Linnéa;378
Roosa-Maria;377
Boris;377
Madeleine;376
Nestori;376
Jeanette;375
Turkka;375
Viktoria;374
Joa;374
Jannika;373
Karolina;373
Igor;373
Aliina;372
Larissa;372
Mai;371
Annemari;370
Mikke;370
Valo;370
Hanna-Maija;367
Mariia;367
Aisha;365
Märta;365
Mandi;364
Viljam;364
Esteri;363
Bruno;363
Kristoffer;363
Rune;363
Alfred;362
Sophia;361
Tage;361
Vilppu;361
Aatto;360
Gun-Britt;359
Abdirahman;359
Osku;359
August;357
Arvid;356
Jasmina;355
Nenna;354
Pamela;354
Albin;354
Lidia;352
Wille;352
Nino;351
Hannah;350
Tiia-Maria;350
Maili;349
Mathilda;349
Joosua;348
Wilhelm;348
Maja;347
James;347
Roman;347
Ann-Marie;346
Kirsi-Maria;346
Briitta;345
Heleena;345
Rebecka;345
Minna-Liisa;344
Asmo;344
Ohto;342
Jonny;341
Leena-Maija;340
Klas;340
Philip;340
Jarna;335
Toimi;335
Yasmin;334
Denis;334
Van;334
Rakel;333
Annastiina;332
Jacob;332
Miira;331
Maximilian;331
Jadessa;330
Sade;328
Anttoni;327
Pietu;327
Mariam;325
Hellä;324
Pernilla;324
Edward;324
Andrea;323
Freja;323
Leeni;323
Samira;323
Aleksander;323
Iitu;322
Lenita;321
Mustafa;321
My;320
Raija-Liisa;320
Henrietta;319
Merita;319
Aleksei;318
Evert;317
Ann-Christine;316
Fatima;316
Rosanna;316
Svea;316
Aake;316
Ivar;316
Lennart;315
Ville-Petteri;315
Hulda;314
Mitja;314
Jessi;313
Matts;313
Naomi;312
